generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
722,101120.00,52599.63,150,99.67,20,10.40,6,50,70,74
723,91130.00,44447.75,150,92.83,18,8.79,8,87,75,30
724,81020.00,38999.45,150,90.50,16,7.70,31,37,73,59
725,86160.00,42967.55,150,97.50,17,8.47,5,26,96,73
726,101170.00,41421.43,150,84.36,20,8.19,16,66,72,46
727,86180.00,42067.30,150,98.43,17,8.29,19,70,67,44
728,81130.00,35645.65,150,82.88,16,7.04,11,108,67,14
729,96060.00,30513.36,150,79.89,19,6.02,26,64,87,23
730,91020.00,39094.76,150,86.06,18,7.74,10,82,87,21
731,81210.00,35011.08,150,90.69,16,6.88,35,7,82,76
732,86150.00,38950.34,150,99.88,17,7.67,7,34,86,73
733,76120.00,38999.61,150,95.72,15,7.68,6,51,81,62
734,61080.00,35000.20,150,89.12,12,6.90,10,101,81,8
735,66070.00,37322.45,150,101.63,13,7.34,5,50,79,66
736,100860.00,45027.83,147,94.94,20,8.90,7,50,82,61
737,75980.00,36899.26,150,74.36,15,7.32,4,119,72,5
738,96110.00,40253.52,150,91.08,19,7.96,17,75,80,28
739,76140.00,40292.85,150,100.61,15,7.93,16,43,69,72
740,70980.00,35698.90,150,82.48,14,7.06,3,102,85,10
741,76090.00,34077.26,150,96.25,15,6.70,19,62,80,39
742,101040.00,36789.34,150,86.78,20,7.26,16,46,97,41
743,86040.00,32838.52,150,82.19,17,6.49,19,34,100,47
744,95960.00,40679.50,150,87.42,19,8.04,6,39,99,56
745,86050.00,34321.70,150,72.85,17,6.79,13,115,70,2
746,70970.00,39763.01,150,89.18,14,7.87,24,102,70,4
747,76050.00,31337.57,150,83.16,15,6.17,25,39,86,50
748,86100.00,43608.59,150,98.36,17,8.61,25,30,76,69
749,81100.00,39976.42,150,97.52,16,7.88,22,39,77,62
750,81050.00,36053.59,150,81.53,16,7.12,19,79,67,35
751,76120.00,42040.68,150,106.27,15,8.28,8,25,70,97
752,81030.00,44581.80,150,107.50,16,8.79,11,31,73,85
753,81200.00,45619.39,150,112.32,16,8.98,9,36,64,91
754,75990.00,39324.27,150,96.94,15,7.76,8,57,68,67
755,81080.00,26372.32,150,68.12,16,5.21,8,108,78,6
756,71160.00,36351.52,150,96.30,14,7.15,19,18,89,74
757,71150.00,39722.87,150,102.56,14,7.82,10,36,78,76
758,90850.00,41781.60,147,90.92,18,8.26,15,44,88,53
759,100980.00,56039.54,150,106.10,20,11.10,9,80,62,49
760,76020.00,39467.77,150,97.29,15,7.78,12,20,78,90
761,76080.00,40982.81,150,105.05,15,8.07,15,27,74,84
762,86080.00,42754.61,150,91.83,17,8.45,16,67,81,36
