generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
728,129440.00,17116.53,200,62.48,16,2.10,45,11,127,17
729,153370.00,11839.07,200,57.38,19,1.45,36,6,150,8
730,105270.00,8780.88,200,57.22,13,1.07,29,2,161,8
731,121470.00,12688.46,200,58.73,15,1.55,41,4,137,18
732,121330.00,13950.81,200,65.03,15,1.71,43,7,140,10
733,121330.00,12826.16,200,62.43,15,1.57,23,8,157,12
734,129450.00,14897.34,200,65.88,16,1.82,42,9,138,11
735,121110.00,17376.41,194,67.48,15,2.13,52,8,125,15
736,129310.00,17620.21,200,68.25,16,2.17,31,9,141,19
737,113230.00,11722.36,200,60.80,14,1.44,34,3,147,16
738,137380.00,15990.04,200,63.31,17,1.97,51,6,128,15
739,121440.00,20752.14,200,68.21,15,2.56,49,8,129,14
740,121280.00,13868.41,200,62.34,15,1.70,20,10,156,14
741,121340.00,10974.25,200,56.47,15,1.34,40,4,147,9
742,129300.00,16484.80,200,59.77,16,2.03,40,17,134,9
743,112980.00,10410.25,180,57.73,14,1.27,24,18,151,7
744,153280.00,15670.05,200,58.69,19,1.93,18,18,157,7
745,113290.00,12788.28,200,56.62,14,1.57,37,16,138,9
746,105250.00,12263.81,200,63.48,13,1.50,31,7,155,7
747,121310.00,20130.18,200,69.91,15,2.48,42,13,131,14
748,145390.00,15815.72,200,61.52,18,1.95,36,11,143,10
749,113340.00,16106.82,200,65.77,14,1.98,28,4,151,17
750,121340.00,13706.77,200,61.95,15,1.68,39,8,144,9
751,129380.00,20843.54,200,73.22,16,2.56,21,15,150,14
752,113330.00,15670.24,200,68.05,14,1.92,22,8,163,7
753,129390.00,24870.15,200,76.02,16,3.06,44,8,133,15
754,105270.00,17521.19,200,71.30,13,2.15,29,11,145,15
755,121350.00,25001.44,200,82.03,15,3.07,26,16,144,14
756,113460.00,16733.32,200,69.31,14,2.05,25,13,154,8
757,129430.00,21911.79,200,72.33,16,2.69,25,14,138,23
758,121320.00,14995.20,200,71.08,15,1.83,10,2,177,11
759,129180.00,15354.99,200,69.02,16,1.88,9,8,169,14
760,121310.00,14410.31,200,65.36,15,1.76,25,3,157,15
761,105350.00,16421.34,200,70.42,13,2.01,22,2,154,22
762,113380.00,14019.69,200,70.58,14,1.71,15,2,162,21
763,105290.00,10190.53,200,60.27,13,1.25,30,3,157,10
764,121360.00,18310.07,200,69.77,15,2.25,32,11,141,16
765,121560.00,18208.62,200,66.53,15,2.23,32,12,135,21
766,137330.00,18266.83,200,64.50,17,2.25,32,17,138,13
767,137340.00,17540.03,200,66.28,17,2.15,28,9,149,14
768,137380.00,15423.47,200,66.02,17,1.89,21,4,161,14
769,129410.00,16211.45,200,69.28,16,1.99,14,14,163,9
770,129360.00,18992.15,200,73.11,16,2.33,21,6,150,23
771,121460.00,19355.18,200,72.30,15,2.38,26,14,148,12
772,97280.00,16973.63,200,74.61,12,2.08,42,6,125,27
773,113330.00,18530.89,200,71.34,14,2.27,40,3,136,21
774,121240.00,15302.17,200,64.63,15,1.88,57,3,127,13
775,121130.00,13061.67,198,59.55,15,1.60,34,17,145,4
776,105320.00,17851.85,200,71.59,13,2.19,30,3,142,25
777,137460.00,18585.12,200,67.46,17,2.29,38,8,134,20
778,129330.00,18637.09,200,71.31,16,2.29,27,5,143,25
779,121430.00,15846.84,200,65.31,15,1.95,43,6,130,21
780,145380.00,25614.36,200,74.11,18,3.16,38,27,119,16
781,145540.00,29252.71,200,78.27,18,3.60,37,6,125,32
782,121250.00,15086.20,200,63.32,15,1.85,44,4,133,19
783,113250.00,20760.05,200,75.33,14,2.55,34,2,148,16
784,105190.00,13671.03,200,65.72,13,1.68,20,18,157,5
785,129360.00,21223.39,200,72.69,16,2.61,32,9,137,22
786,129330.00,25125.73,200,79.25,16,3.09,29,3,150,18
787,113320.00,22395.68,200,69.70,14,2.76,38,28,127,7
788,137380.00,15311.05,200,68.00,17,1.88,21,2,159,18
789,121310.00,25725.16,200,83.43,15,3.17,30,10,130,30
790,121160.00,24338.97,200,75.09,15,3.00,39,13,129,19
791,105310.00,14596.52,200,66.69,13,1.78,27,4,153,16
792,105320.00,19561.78,200,74.77,13,2.40,24,13,148,15
793,129380.00,25209.45,200,73.95,16,3.10,45,5,129,21
794,121430.00,19338.72,200,70.60,15,2.38,29,9,138,24
795,121280.00,26796.43,200,79.39,15,3.30,28,11,136,25
796,121380.00,22295.13,197,71.73,15,2.75,33,14,140,13
797,121080.00,10965.65,193,54.83,15,1.34,38,6,149,7
798,113320.00,14130.88,200,67.51,14,1.73,22,6,154,18
799,113250.00,18536.72,197,67.44,14,2.27,33,16,144,7
800,113340.00,16016.84,200,68.56,14,1.96,34,3,150,13
801,113340.00,17777.61,200,72.39,14,2.18,30,3,148,19
802,129210.00,13310.12,198,63.91,16,1.63,33,8,145,14
803,97230.00,11569.05,200,60.92,12,1.42,32,10,147,11
804,105260.00,17011.51,200,65.18,13,2.09,37,5,144,14
805,113260.00,12877.79,200,59.12,14,1.58,44,4,140,12
806,121240.00,13263.40,200,62.16,15,1.62,16,4,166,14
807,121240.00,13450.62,200,62.62,15,1.65,30,5,150,15
808,129380.00,14775.71,200,62.25,16,1.81,24,15,149,12
809,129390.00,15895.11,200,64.81,16,1.95,40,10,138,12
810,145340.00,19561.88,200,70.41,18,2.40,31,7,148,14
811,129330.00,19300.30,200,76.61,16,2.37,33,4,145,18
812,97270.00,15913.69,200,71.31,12,1.95,30,9,143,18
813,105270.00,18636.81,200,75.29,13,2.29,31,6,132,31
814,113410.00,17393.45,200,72.25,14,2.13,27,8,145,20
815,137360.00,12245.08,200,60.63,17,1.50,31,5,153,11
816,137430.00,16040.88,200,68.48,17,1.97,30,5,146,19
817,113260.00,13843.83,200,60.78,14,1.70,50,0,132,18
818,121320.00,20432.68,200,71.03,15,2.51,38,4,143,15
819,145520.00,33938.61,200,83.25,18,4.18,31,8,136,25
820,121370.00,15481.73,200,64.69,15,1.90,38,4,137,21
821,121310.00,23435.76,200,76.15,15,2.88,25,9,140,26
822,145220.00,18633.80,198,64.15,18,2.29,34,9,141,16
823,137270.00,15215.32,200,63.98,17,1.87,38,9,144,9
824,129530.00,16910.85,200,67.67,16,2.07,24,6,152,18
825,121330.00,16607.59,200,68.57,15,2.04,46,0,139,15
826,121460.00,20486.58,200,71.19,15,2.52,32,3,143,22
827,113370.00,16412.22,200,72.00,14,2.01,13,12,160,15
828,113420.00,21839.51,200,74.99,14,2.68,33,16,137,14
829,129370.00,15418.15,200,66.89,16,1.89,25,11,151,13
830,121140.00,15200.40,183,63.55,15,1.86,36,4,148,12
831,137380.00,18642.83,200,68.42,17,2.29,36,7,148,9
832,145400.00,20562.84,200,67.03,18,2.53,49,7,128,16
833,113390.00,14112.37,200,63.63,14,1.73,31,1,148,20
834,113270.00,21101.66,200,74.18,14,2.60,45,7,128,20
835,137300.00,13098.67,200,62.51,17,1.60,44,3,146,7
836,121360.00,20545.10,200,71.58,15,2.52,42,7,130,21
837,121410.00,30284.84,200,69.47,15,3.75,29,13,136,22
838,121520.00,16456.96,200,64.08,15,2.02,52,10,127,11
839,129320.00,18104.54,200,68.40,16,2.23,33,6,147,14
840,113310.00,17571.39,200,64.47,14,2.16,44,3,138,15
841,121470.00,16728.98,200,69.56,15,2.05,35,1,147,17
842,113370.00,10962.56,200,59.81,14,1.34,46,6,138,10
843,129480.00,13703.54,200,66.68,16,1.68,26,2,153,19
844,121380.00,17454.73,200,67.83,15,2.15,28,6,149,17
845,105070.00,12149.27,184,63.26,13,1.49,32,9,154,5
846,121260.00,24519.54,200,73.16,15,3.02,39,8,139,14
847,129310.00,18040.28,200,71.80,16,2.21,32,5,147,16
848,129320.00,11989.54,200,62.46,16,1.47,23,4,166,7
849,121220.00,16079.45,200,70.99,15,1.97,27,5,157,11
850,113310.00,13159.89,200,63.33,14,1.61,31,3,145,21
851,129040.00,14802.40,190,65.31,16,1.81,12,15,161,12
852,113360.00,15481.37,200,64.45,14,1.90,38,5,142,15
853,129480.00,13402.78,200,62.07,16,1.64,24,6,158,12
854,121320.00,11667.61,200,61.40,15,1.43,29,2,164,5
855,113230.00,18821.27,200,63.47,14,2.32,40,5,144,11
856,113150.00,15017.14,200,63.93,14,1.84,32,5,153,10
857,105330.00,14004.33,200,63.99,13,1.72,44,1,140,15
858,105400.00,11255.53,200,60.98,13,1.38,28,1,159,12
859,121270.00,10054.05,200,57.49,15,1.23,33,4,152,11
860,121290.00,15223.03,200,64.52,15,1.87,32,12,148,8
861,113390.00,21468.52,200,71.77,14,2.64,55,5,127,13
862,113350.00,13269.02,200,61.53,14,1.62,44,12,136,8
863,105410.00,7625.84,200,52.81,13,0.93,45,3,145,7
864,113270.00,10924.43,200,59.17,14,1.33,35,3,152,10
865,129290.00,11182.26,200,57.06,16,1.37,43,8,142,7
866,113180.00,13912.26,200,65.75,14,1.71,23,3,163,11
867,105190.00,15656.75,200,70.22,13,1.92,25,11,149,15
868,113260.00,13516.62,200,70.19,14,1.65,27,7,157,9
869,145440.00,21335.62,200,64.77,18,2.63,33,6,151,10
870,113280.00,14222.90,200,64.22,14,1.75,48,6,131,15
871,89110.00,12355.75,200,67.47,11,1.51,26,6,150,18
872,113360.00,13699.86,200,61.67,14,1.68,46,8,129,17
873,121240.00,16671.47,200,68.43,15,2.04,26,4,159,11
874,113280.00,11588.32,200,63.56,14,1.42,18,5,164,13
875,121270.00,14219.11,200,65.96,15,1.74,17,6,163,14
876,121440.00,22599.45,200,81.88,15,2.77,35,5,149,11
877,121360.00,15756.62,200,64.62,15,1.94,43,12,132,13
878,121420.00,22396.41,200,70.06,15,2.75,27,12,146,15
879,121410.00,19172.13,200,73.72,15,2.35,28,5,154,13
880,113260.00,16932.28,200,64.33,14,2.08,23,5,162,10
881,129360.00,12319.55,200,62.34,16,1.50,20,1,165,14
882,113390.00,14527.26,200,68.58,14,1.77,13,4,171,12
883,113190.00,14382.30,200,68.26,14,1.76,18,4,158,20
884,121230.00,16873.95,200,69.37,15,2.07,22,9,156,13
885,121370.00,16356.40,200,61.15,15,2.01,23,7,161,9
886,113260.00,16420.56,200,65.88,14,2.02,27,4,158,11
887,121340.00,13285.22,200,64.44,15,1.62,23,9,157,11
888,112990.00,20215.38,176,81.77,14,2.48,19,4,158,19
889,121500.00,20712.31,200,61.18,15,2.56,35,13,143,9
890,129280.00,13295.69,200,63.41,16,1.62,24,1,162,13
891,97170.00,11020.00,200,63.25,12,1.34,22,1,166,11
892,121290.00,14810.85,200,66.97,15,1.81,26,6,153,15
893,129340.00,21091.39,200,65.89,16,2.60,23,4,163,10
894,113390.00,12809.00,200,62.48,14,1.56,35,2,153,10
895,113260.00,10252.77,200,60.60,14,1.25,26,6,156,12
896,113320.00,12587.77,200,62.74,14,1.54,32,3,146,19
897,137250.00,22326.80,195,72.00,17,2.75,39,9,140,12
898,121390.00,16020.88,200,67.83,15,1.97,33,10,142,15
899,129260.00,16978.29,195,69.28,16,2.08,25,6,156,13
900,113210.00,13735.16,200,65.50,14,1.69,31,12,146,11
901,129410.00,15748.42,200,66.68,16,1.93,26,11,145,18
902,121300.00,16086.30,200,60.40,15,1.98,43,15,134,8
903,113300.00,12056.48,200,61.11,14,1.48,25,6,157,12
904,129480.00,14168.01,200,65.20,16,1.74,34,5,146,15
905,137390.00,17552.39,200,67.72,17,2.15,32,9,143,16
906,129440.00,19213.19,200,71.72,16,2.35,43,2,144,11
907,161440.00,22792.64,200,60.80,20,2.81,38,8,143,11
908,105430.00,16687.99,200,75.47,13,2.04,30,5,144,21
909,121340.00,17993.57,200,70.33,15,2.21,22,6,150,22
910,129310.00,17963.98,200,70.14,16,2.21,21,3,154,22
911,105270.00,19195.67,200,82.08,13,2.35,27,3,146,24
912,113320.00,17240.16,200,67.23,14,2.12,26,2,154,18
913,113350.00,16532.95,200,71.31,14,2.02,27,3,149,21
914,105360.00,17019.14,200,68.71,13,2.08,27,7,147,19
915,113340.00,14185.02,200,61.80,14,1.74,46,1,139,14
